id,compound_name,adduct,score,precursor_mz,ion_mobility,ccs,rt,mol_formula,smiles,inchi,inchi_key,method,usi,entry_id,iupac_name,cas,internal_id,query_spectrum_usi
1,Fudosteine,[M-2H2O+H]+,0.836,144.04776999999999,,,1.1448506,C6H13NO3S,N[C@@H](CSCCCO)C(=O)O,"InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1",KINWYTAUPKOPCQ-YFKPBYRVSA-N,spectral_library_annotation,"[""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:356""]",,,,,mzspec:DATASET_ID_PLACEHOLDER:137_C:167
1,Fudosteine,[M-2H2O+H]+,0.836,144.048,,,,,N[C@@H](CSCCCO)C(=O)O,"InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1",KINWYTAUPKOPCQ-YFKPBYRVSA-N,spectral_library_annotation,,CCMSLIB00012287258,,N/A,,mzspec:DATASET_ID_PLACEHOLDER:137_C:167
1,Fudosteine,[M+H]+,0.836,144.048,,,,,N[C@@H](CSCCCO)C(=O)O,"""InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1""",KINWYTAUPKOPCQ-YFKPBYRVSA-N,spectral_library_annotation,,CCMSLIB00010146278,,N/A,,mzspec:DATASET_ID_PLACEHOLDER:137_C:167
1,Fudosteine,[M-2H2O+H]+,0.803,144.04776999999999,,,1.1448506,C6H13NO3S,N[C@@H](CSCCCO)C(=O)O,"InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1",KINWYTAUPKOPCQ-YFKPBYRVSA-N,spectral_library_annotation,"[""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:357""]",,,,,mzspec:DATASET_ID_PLACEHOLDER:137_C:167
1,Fudosteine,[M-2H2O+H]+,0.803,144.048,,,,,N[C@@H](CSCCCO)C(=O)O,"InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1",KINWYTAUPKOPCQ-YFKPBYRVSA-N,spectral_library_annotation,,CCMSLIB00012287259,,N/A,,mzspec:DATASET_ID_PLACEHOLDER:137_C:167
1,Fudosteine,[M+H]+,0.803,144.048,,,,,N[C@@H](CSCCCO)C(=O)O,"""InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1""",KINWYTAUPKOPCQ-YFKPBYRVSA-N,spectral_library_annotation,,CCMSLIB00010146279,,N/A,,mzspec:DATASET_ID_PLACEHOLDER:137_C:167
1,Fudosteine,[M-2H2O+H]+,0.746,144.04776999999999,,,1.1448506,C6H13NO3S,N[C@@H](CSCCCO)C(=O)O,"InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1",KINWYTAUPKOPCQ-YFKPBYRVSA-N,spectral_library_annotation,"[""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:356"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:357"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:358""]",,,,,mzspec:DATASET_ID_PLACEHOLDER:137_C:167
1,Fudosteine,[M-2H2O+H]+,0.746,144.048,,,,,N[C@@H](CSCCCO)C(=O)O,"InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1",KINWYTAUPKOPCQ-YFKPBYRVSA-N,spectral_library_annotation,,CCMSLIB00012287256,,N/A,,mzspec:DATASET_ID_PLACEHOLDER:137_C:167
1,Fudosteine,[M+H]+,0.746,144.048,,,,,N[C@@H](CSCCCO)C(=O)O,"""InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1""",KINWYTAUPKOPCQ-YFKPBYRVSA-N,spectral_library_annotation,,CCMSLIB00010146276,,N/A,,mzspec:DATASET_ID_PLACEHOLDER:137_C:167
1,Fudosteine,[M-2H2O+H]+,0.718,144.04776999999999,,,1.1448506,C6H13NO3S,N[C@@H](CSCCCO)C(=O)O,"InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1",KINWYTAUPKOPCQ-YFKPBYRVSA-N,spectral_library_annotation,"[""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:356"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:357"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:358"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:360"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:361"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:362"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:363"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:364"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:365"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:366"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:367"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:368"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:369"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:370"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:371"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:372"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:373"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:374"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:390"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:391"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:392"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:393"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:394"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:395"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:396"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:397"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:398"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:399"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:400"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:401"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:402"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:403"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:404"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:405"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:406"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:407"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:408"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:409"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:410"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:411"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:412"",""mzspec:MSV000094528:20220613_100AGC_60000Res_pluskal_mce_1D1_I18_id:413""]",,,,,mzspec:DATASET_ID_PLACEHOLDER:137_C:167
