ID1,ID2,EdgeType,Score,Annotation
68,69,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98191
192,195,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98095
359,367,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=449.22549
366,367,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98148
393,406,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=466.21818
404,406,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98196
412,413,MS1 annotation,3,[M+H]+ [M+H-H2O]+ dm/z=18.01058
412,414,MS1 annotation,3,[M+Na]+ [M+H-H2O]+ dm/z=39.99246
413,414,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98188
433,434,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98097
443,444,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98183
445,447,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.9821
451,452,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98371
485,486,MS1 annotation,3,[M+H]+ [M+H-H2O]+ dm/z=18.01052
485,487,MS1 annotation,3,[M+Na]+ [M+H-H2O]+ dm/z=39.99241
486,487,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.9819
488,489,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98185
491,492,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95393
501,504,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98189
501,503,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02644
503,504,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95546
513,514,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02666
514,515,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98187
516,517,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98178
519,520,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98191
523,524,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98187
541,542,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98214
561,562,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98202
572,573,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.982
576,577,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98191
593,596,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=504.7417
595,596,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98166
597,604,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98168
599,600,MS1 annotation,2,[M+Na]+ [M+H-H2O]+ dm/z=39.99243
615,616,MS1 annotation,3,[M+NH4]+ [M+H-H2O]+ dm/z=35.03683
615,617,MS1 annotation,3,[M+Na]+ [M+H-H2O]+ dm/z=39.99227
621,622,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98221
639,640,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98199
644,647,MS1 annotation,3,[2M+H]+ [M+H]+ dm/z=495.23533
644,646,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98196
646,647,MS1 annotation,3,[2M+H]+ [M+Na]+ dm/z=473.25337
655,657,MS1 annotation,2,[M+Na]+ [M+H-H2O]+ dm/z=39.99155
670,671,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98193
677,678,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98174
682,684,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98182
683,685,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98205
694,696,MS1 annotation,4,[M+Na]+ [M+H]+ dm/z=21.98175
694,695,MS1 annotation,4,[M+NH4]+ [M+H]+ dm/z=17.0265
694,698,MS1 annotation,4,[M+K]+ [M+H]+ dm/z=37.95559
695,696,MS1 annotation,4,[M+Na]+ [M+NH4]+ dm/z=4.95525
695,698,MS1 annotation,4,[M+K]+ [M+NH4]+ dm/z=20.92909
696,698,MS1 annotation,4,[M+K]+ [M+Na]+ dm/z=15.97384
697,708,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98197
712,713,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98187
723,725,MS1 annotation,2,[M+Na]+ [M+H-H2O]+ dm/z=39.99164
742,744,MS1 annotation,3,[M+Na]+ [M+H-H2O]+ dm/z=39.99084
742,743,MS1 annotation,3,[M+H]+ [M+H-H2O]+ dm/z=18.01064
757,758,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.9816
759,782,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98191
768,778,MS1 annotation,4,[M+Na]+ [M+H]+ dm/z=21.98164
768,770,MS1 annotation,4,[2M+H]+ [M+H]+ dm/z=479.24054
768,781,MS1 annotation,4,[2M+Na]+ [M+H]+ dm/z=501.2223
770,778,MS1 annotation,4,[M+Na]+ [2M+H]+ dm/z=457.25891
770,781,MS1 annotation,4,[2M+Na]+ [2M+H]+ dm/z=21.98175
778,781,MS1 annotation,4,[2M+Na]+ [M+Na]+ dm/z=479.24066
801,804,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98177
806,807,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98178
809,810,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98187
811,812,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98242
827,836,MS1 annotation,3,[M+H]+ [M+H-H2O]+ dm/z=18.01077
827,829,MS1 annotation,3,[M+Na]+ [M+H-H2O]+ dm/z=39.99251
829,836,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98174
831,833,MS1 annotation,3,[2M+Na]+ [M+H]+ dm/z=420.20161
831,832,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98164
832,833,MS1 annotation,3,[2M+Na]+ [M+Na]+ dm/z=398.21997
842,843,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02623
842,844,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98169
851,852,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98205
858,861,MS1 annotation,3,[M+Na]+ [M+H-H2O]+ dm/z=39.99278
858,859,MS1 annotation,3,[M+H]+ [M+H-H2O]+ dm/z=18.01094
859,861,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98183
866,867,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98177
879,892,MS1 annotation,3,[M+Na]+ [M+H-H2O]+ dm/z=39.99255
879,889,MS1 annotation,3,[M+H]+ [M+H-H2O]+ dm/z=18.01071
885,891,MS1 annotation,2,[M+Na]+ [M+H-H2O]+ dm/z=39.99206
889,892,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98184
893,894,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02641
893,895,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98177
894,895,MS1 annotation,3,[M+Na]+ [M+NH4]+ dm/z=4.95516
901,902,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98184
912,915,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98164
918,923,MS1 annotation,4,[2M+H]+ [M+H-H2O]+ dm/z=347.26636
