row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,137_C.mzML Peak area,RSZ_C.mzML Peak area,
1,144.04766519424865,0.65832305,,,,,,,,,,,528577.8,0,
3,169.0758168379011,0.89959425,,,,,,,,,,,6893815.0,0,
2,382.68540374970155,0.8192573,,,,,,,,,,,1089730.4,0,
5,438.7353840286291,0.89959425,,,,,,,,,,,7858003.0,0,
6,357.21246182479723,1.1232281,,,,,,,,,,,2656570.2,0,
7,261.1228698963919,1.3650908,,,,,,,,,,,1.0416232E7,0,
8,183.09147300526573,1.543998,,,,,,,,,,,1.5835614E7,0,
9,114.0915104440982,1.5547278,,,,,,,,,,,0,1239806.6,
10,337.6783586409507,1.7465528,,,,0,,,,,,,6931742.0,0,
11,674.3493787811302,1.7465528,,,,0,,,,,,,2565501.8,0,
13,284.6979370903314,1.8076857,,,,1,,,,,,,6610812.5,0,
14,284.19635954284,1.8269898,,,,1,,,,,,,2.9959046E7,0,
15,310.16665473967527,1.8269898,,,,1,,,,,,,2.809578E7,0,
16,197.12824839744434,1.8408254,,,,1,,,,,,,1.6801468E7,4126760.5,
12,261.12297246004096,1.8076857,,,,,,,,,,,3439156.5,0,
17,229.1002304304928,2.3406923,,,,,,,,,,,4403333.5,0,
19,277.17020362402656,2.7268314,,,,2,,,,,,,4550279.5,0,
20,553.3338637188185,2.74605,,,,2,,,,,,,6879871.0,0,
21,746.3528321489702,2.7651415,,,,2,,,,,,,4525371.5,0,
22,390.7519610805199,3.2563984,,,,,,,,,,,4500724.0,0,
23,193.0525490895254,3.5069842,,,,,,,,,,,3541503.5,0,
24,489.27007959690366,4.4278464,,,,,,,,,,,3327901.0,0,
25,211.14380641351582,4.543172,,,,3,,,,,,,1.083334E8,3.8675164E7,
26,212.14730532988955,4.550984,,,,3,,,,,,,0,4592507.0,
28,491.28581101417814,4.555283,,,,4,,,,,,,4707391.0,0,
30,374.68783933726235,4.7265716,,,,6,,,,,,,1803686.4,0,
31,449.7381368600748,4.7265716,,,,6,,,,,,,3838862.8,0,
34,668.3966386327556,4.827979,,,,5,,,,,,,1.7909094E7,0,
36,576.3497224866392,4.849483,,,,5,,,,,,,2.333347E7,0,
39,407.73100809099077,4.9769197,,,,,,,,,,,2337611.0,0,
38,116.07066730549063,4.9769197,,,,,,,,,,,1155379.2,0,
40,652.4013828768941,5.0160046,,,,,,,,,,,1.87066E7,0,
41,277.11785861108194,5.0533905,,,,,,,,,,,0,2095155.8,
43,553.3339089979229,5.124208,,,,,,,,,,,1.2072168E7,0,
46,261.1229858409118,5.199902,,,,,,,,,,,0,1390786.2,
44,164.9843645040603,5.172398,,,,,,,,,,,0,1730353.5,
47,491.24952069856005,5.2109013,,,,,,,,,,,1190564.6,0,
48,510.2702793203166,5.2109013,,,,,,,,,,,4051444.5,0,
50,259.2013205063861,5.241864,,,,,,,,,,,0,2967568.2,
45,245.12814269516463,5.199902,,,,,,,,,,,0,1214907.1,
51,659.3389917662272,5.2725863,,,,,,,,,,,1232909.0,0,
49,439.2907555446305,5.2305512,,,,,,,,,,,2.2042854E7,0,
52,278.1550217251397,5.3166986,,,,7,,,,,,,2389087.8,0,
53,334.69752125026406,5.3166986,,,,7,,,,,,,1162829.2,0,
54,343.70228068653404,5.3166986,,,,7,,,,,,,1.8769514E8,0,
55,372.2128355628074,5.3166986,,,,7,,,,,,,3266303.5,0,
56,404.7676345874289,5.3166986,,,,7,,,,,,,1767205.9,0,
57,409.2681590643274,5.3166986,,,,7,,,,,,,4414513.0,0,
