area,rt,mz_range:min,mz_range:max,charge,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,rt_range:min,rt_range:max,mz,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:similarity_score,spectral_db_matches:n_matching_signals,spectral_db_matches:explained_intensity_percent,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:inchi,spectral_db_matches:neutral_mass,spectral_db_matches:precursor_mz,spectral_db_matches:mz_diff,spectral_db_matches:mz_diff_ppm,spectral_db_matches:rt_absolute_error,spectral_db_matches:entry_id,spectral_db_matches:cas,intensity_range:min,intensity_range:max,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,id,molecular_networking:net_cluster_id,molecular_networking:net_community_id,molecular_networking:edges,molecular_networking:net_cluster_size,molecular_networking:net_community_size,height,datafile:137_C.mzML:area,datafile:137_C.mzML:rt,datafile:137_C.mzML:mz_range:min,datafile:137_C.mzML:mz_range:max,datafile:137_C.mzML:charge,datafile:137_C.mzML:fragment_scans,datafile:137_C.mzML:rt_ms2_apex_distance,datafile:137_C.mzML:fwhm,datafile:137_C.mzML:rt_range:min,datafile:137_C.mzML:rt_range:max,datafile:137_C.mzML:feature_state,datafile:137_C.mzML:mz,datafile:137_C.mzML:intensity_range:min,datafile:137_C.mzML:intensity_range:max,datafile:137_C.mzML:asymmetry_factor,datafile:137_C.mzML:isotopes,datafile:137_C.mzML:tailing_factor,datafile:137_C.mzML:height,datafile:RSZ_C.mzML:area,datafile:RSZ_C.mzML:rt,datafile:RSZ_C.mzML:mz_range:min,datafile:RSZ_C.mzML:mz_range:max,datafile:RSZ_C.mzML:charge,datafile:RSZ_C.mzML:fragment_scans,datafile:RSZ_C.mzML:rt_ms2_apex_distance,datafile:RSZ_C.mzML:fwhm,datafile:RSZ_C.mzML:rt_range:min,datafile:RSZ_C.mzML:rt_range:max,datafile:RSZ_C.mzML:feature_state,datafile:RSZ_C.mzML:mz,datafile:RSZ_C.mzML:intensity_range:min,datafile:RSZ_C.mzML:intensity_range:max,datafile:RSZ_C.mzML:asymmetry_factor,datafile:RSZ_C.mzML:isotopes,datafile:RSZ_C.mzML:tailing_factor,datafile:RSZ_C.mzML:height
5.286E5,0.6583,144.04765,144.04768,1,1,0.5,1,0,1,0,0,0,0,0.6196,0.6995,144.04767,Fudosteine (0.836),Fudosteine,0.836,6,0.8988,[M+H-2H2O]+,C6H13NO3S,N[C@@H](CSCCCO)C(=O)O,"InChI=1S/C6H13NO3S/c7-5(6(9)10)4-11-3-1-2-8/h5,8H,1-4,7H2,(H,9,10)/t5-/m0/s1",179.06161,144.04777,-0.0001,-0.73,-0.4865,,,4.233E6,7.889E6,,,,,,,,,,1,64,-1,0,1,0,7.889E6,5.286E5,0.6583,144.04765,144.04768,1,1,-0.0364,0.2778,0.6196,0.6995,DETECTED,144.04767,4.233E6,7.889E6,1.0649,3,1.0325,7.889E6,,,,,,,,,,,UNKNOWN,,,,,,,
1.09E6,0.8193,382.68515,382.68561,1,2,0.5,1,0,1,0,0,0,0,0.6196,0.9183,382.6854,,,,,,,,,,,,,,,,,1.584E6,5.106E6,,,,,,,,,,2,65,-1,0,1,0,5.106E6,1.09E6,0.8193,382.68515,382.68561,1,2,-0.1559,0.27,0.6196,0.9183,DETECTED,382.6854,1.584E6,5.106E6,0.496,2,0.748,5.106E6,,,,,,,,,,,UNKNOWN,,,,,,,
6.894E6,0.8996,169.07571,169.07594,1,2,0.5,1,0,1,0,0,0,0,0.6196,1.0439,169.07582,,,,,,,,,,,,,,,,,7.448E6,2.559E7,,,,,,,,,,3,66,-1,0,1,0,2.559E7,6.894E6,0.8996,169.07571,169.07594,1,2,-0.1978,0.359,0.6196,1.0439,DETECTED,169.07582,7.448E6,2.559E7,0.5155,2,0.7578,2.559E7,,,,,,,,,,,UNKNOWN,,,,,,,
7.858E6,0.8996,438.73511,438.73566,2,2,0.5,1,0,1,0,0,0,0,0.6196,1.0439,438.73538,,,,,,,,,,,,,,,,,6.119E6,2.897E7,,,,,,,,,,5,67,-1,0,1,0,2.897E7,7.858E6,0.8996,438.73511,438.73566,2,2,-0.1372,0.296,0.6196,1.0439,DETECTED,438.73538,6.119E6,2.897E7,0.5155,2,0.7578,2.897E7,,,,,,,,,,,UNKNOWN,,,,,,,
2.657E6,1.1232,357.21182,357.21274,1,3,0.5,1,0,1,0,0,0,0,0.6196,1.2622,357.21246,,,,,,,,,,,,,,,,,1.289E6,7.091E6,,,,,,,,,,6,68,-1,0,1,0,7.091E6,2.657E6,1.1232,357.21182,357.21274,1,3,-0.338,0.4177,0.6196,1.2622,DETECTED,357.21246,1.289E6,7.091E6,0.2759,2,0.638,7.091E6,,,,,,,,,,,UNKNOWN,,,,,,,
1.042E7,1.3651,261.12253,261.12311,1,4,0.5,1,0,1,0,0,0,0,0.6995,1.4442,261.12287,Spectral Match to Tyr-Pro from NIST14 (0.727),Spectral Match to Tyr-Pro from NIST14,0.727,14,0.8402,M+H-H2O,,C1C[C@H](N(C1)C(=O)[C@H](CC2=CC=C(C=C2)O)N)C(=O)O,"InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)/t11-,12-/m0/s1",278.127,261.123,-0.00013,-0.5,,CCMSLIB00003136764,N/A,5.762E6,3.004E7,,,,,,,,,,7,1,9,6,126,12,3.004E7,1.042E7,1.3651,261.12253,261.12311,1,4,-0.6431,0.2197,0.6995,1.4442,DETECTED,261.12287,5.762E6,3.004E7,0.1188,3,0.5594,3.004E7,,,,,,,,,,,UNKNOWN,,,,,,,
1.584E7,1.544,183.09137,183.09158,1,5,0.5,1,0,1,0,0,0,0,0.8601,1.6856,183.09147,,,,,,,,,,,,,,,,,9.474E5,3.93E7,,,,,,,,,,8,69,-1,0,1,0,3.93E7,1.584E7,1.544,183.09137,183.09158,1,5,-0.6596,0.4831,0.8601,1.6856,DETECTED,183.09147,9.474E5,3.93E7,0.2163,3,0.6052,3.93E7,,,,,,,,,,,UNKNOWN,,,,,,,
1.24E6,1.5547,114.09146,114.09156,1,2,0.5,1,0,1,0,0,0,0,1.1374,1.609,114.09151,LEUCINE (0.957),LEUCINE,0.957,14,0.9209,M-H2O+H,,CC(C)C[C@H](N)C(O)=O,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",131.095,114.091,0.00051,4.47,,CCMSLIB00013583197,61-90-5,2.872E5,5.59E6,,,,,,,,,,9,70,-1,0,1,0,5.59E6,,,,,,,,,,,UNKNOWN,,,,,,,,1.24E6,1.5547,114.09146,114.09156,1,2,-0.2558,0.2543,1.1374,1.609,DETECTED,114.09151,2.872E5,5.59E6,0.1668,3,0.5672,5.59E6
6.932E6,1.7466,337.67819,337.67865,1,4,0.5,1,0,1,0,0,0,0,1.0632,1.9077,337.67836,,,,,,,,,,,,,,,,,2.008E6,1.796E7,0,,,,,,,,,10,35,53,1,2,2,1.796E7,6.932E6,1.7466,337.67819,337.67865,1,4,-0.5205,0.3745,1.0632,1.9077,DETECTED,337.67836,2.008E6,1.796E7,0.2422,3,0.6179,1.796E7,,,,,,,,,,,UNKNOWN,,,,,,,
2.566E6,1.7466,674.34778,674.35016,1,3,0.5,1,0,1,0,0,0,0,0.9401,1.8464,674.34938,,,,,,,,,,,,,,,,,6.996E5,8.357E6,0,,,,,,,,,11,35,53,1,2,2,8.357E6,2.566E6,1.7466,674.34778,674.35016,1,3,-0.3763,0.3279,0.9401,1.8464,DETECTED,674.34938,6.996E5,8.357E6,0.1463,3,0.5625,8.357E6,,,,,,,,,,,UNKNOWN,,,,,,,
